-----------------------------
汉字      全拼      笔画数   
疀        cha       16       
疁        liu       16       
疂        die       16       
疃        tuan      17       
疄        lin       17       
疅        jiang     18       
疆        jiang     19       
疇        chou      19       
疈        pi        20       
疉        die       20       
疊        die       22       
疋        shu       5        
疌        qie       8        
疍        dan       10       
疎        shu       12       
疏        shu       12       
疐        zhi       14       
疑        yi        14       
疒        bing      5        
疓        nai       7        
疔        ding      7        
疕        bi        7        
疖        jie       7        
疗        liao      7        
疘        gang      8        
疙        ge        8        
疚        jiu       8        
疛        zhou      8        
疜        xia       8        
疝        shan      8        
疞        xu        8        
疟        nue       8        
疠        li        8        
疡        yang      8        
疢        chen      9        
疣        you       9        
疤        ba        9        
疥        jie       9        
疦        xue       9        
疧        qi        9        
疨        ya        9        
疩        cui       9        
疪        bi        9        
疫        yi        9        
疬        li        9        
疭        zong      9        
疮        chuang    9        
疯        feng      9        
疰        zhu       10       
疱        pao       10       
疲        pi        10       
疳        gan       10       
疴        ke        10       
疵        ci        11       
疶        xue       10       
疷        zhi       10       
疸        dan       10       
疹        zhen      10       
疺        fa        9        
疻        zhi       10       
疼        teng      10       
疽        ju        10       
疾        ji        10       
疿        fei       10       
痀        ju        10       
痁        shan      10       
痂        jia       10       
痃        xuan      10       
痄        zha       10       
病        bing      10       
痆        nie       10       
症        zheng     10       
痈        yong      10       
痉        jing      10       
痊        quan      11       
痋        teng      11       
痌        tong      11       
痍        yi        11       
痎        jie       11       
痏        yu        11       
痐        hui       11       
痑        tan       11       
痒        yang      11       
痓        chi       11       
痔        zhi       11       
痕        hen       11       
痖        ya        11       
痗        mei       12       
痘        dou       12       
痙        jing      12       
痚        xiao      12       
痛        tong      12       
痜        tu        12       
痝        mang      12       
痞        pi        12       
痟        xiao      12       
痠        suan      12       
痡        pu        12       
痢        li        12       
痣        zhi       12       
痤        cuo       12       
痥        duo       12       
痦        wu        12       
痧        sha       12       
痨        lao       12       
痩        shou      12       
痪        huan      12       
痫        xian      12       
痬        yi        13       
痭        peng      13       
痮        zhang     13       
痯        guan      13       
痰        tan       13       
痱        fei       13       
痲        ma        13       
痳        lin       13       
痴        chi       13       
痵        ji        13       
痶        tian      13       
痷        ye        13       
痸        chi       13       
痹        bi        13       
痺        pi        13       
痻        min       13       
痼        gu        13       
痽        dui       13       
痾        ke        12       
痿        wei       13       
瘀        yu        13       
瘁        cui       13       
瘂        ya        13       
瘃        zhu       13       
瘄        cu        13       
瘅        dan       13       
瘆        shen      13       
瘇        zhong     14       
瘈        zhi       14       
瘉        yu        14       
瘊        hou       14       
瘋        feng      14       
瘌        la        14       
瘍        yang      14       
瘎        chen      14       
瘏        tu        13       
瘐        yu        13       
瘑        guo       13       
瘒        wen       14       
瘓        huan      14       
瘔        ku        13       
瘕        jia       14       
瘖        yin       14       
瘗        yi        14       
瘘        lou       14       
瘙        sao       14       
瘚        jue       15       
瘛        chi       15       
瘜        xi        15       
瘝        guan      15       
瘞        yi        15       
瘟        wen       14       
瘠        ji        15       
瘡        chuang    15       
瘢        ban       15       
瘣        lei       14       
瘤        liu       15       
瘥        cuo       14       
瘦        shou      14       
瘧        nve       14       
瘨        dian      15       
瘩        da        14       
瘪        bie       15       
瘫        tan       15       
瘬        zhang     16       
瘭        biao      16       
瘮        shen      16       
瘯        cu        16       
瘰        luo       16       
瘱        yi        16       
瘲        zong      16       
瘳        chou      16       
瘴        zhang     16       
瘵        zhai      16       
瘶        sou       16       
瘷        se        16       
瘸        que       16       
瘹        diao      16       
瘺        lou       16       
瘻        lv        16       
瘼        mo        15       
瘽        qin       16       
瘾        yin       16       
瘿        ying      16       
癀        huang     16       
癁        fu        17       
療        shuo      17       
癃        long      16       
癄        qiao      17       
癅        liu       17       
癆        lao       17       
癇        xian      17       
癈        fei       17       
癉        tan       17       
癊        yin       15       
癋        he        17       
癌        ai        17       
癍        ban       17       
癎        xian      17       
癏        guan      18       
癐        wei       18       
癑        nong      18       
癒        yu        18       
癓        wei       18       
癔        yi        18       
癕        yong      18       
癖        pi        18       
癗        lei       18       
癘        li        17       
癙        shu       18       
癚        dan       18       
癛        lin       18       
癜        dian      18       
癝        lin       18       
癞        lai       18       
癟        bie       19       
癠        ji        19       
癡        chi       19       
癢        yang      19       
癣        xuan      19       
癤        jie       18       
癥        zheng     20       
癦        me        20       
癧        li        21       
癨        huo       21       
癩        lai       21       
癪        ji        21       
癫        dian      21       
癬        xuan      22       
癭        ying      22       
癮        yin       21       
癯        qu        23       
癰        yong      23       
癱        tan       24       
癲        dian      24       
癳        luo       26       
癴        luan      28       
癵        luan      30       
癶        bo        5        
癷        uu        8        
癸        gui       9        
癹        ba        9        
発        fa        9        
登        deng      12       
發        fa        12       
白        bai       5        
百        bai       6        
癿        qie       6        
皀        ji        7        
皁        zao       7        
皂        zao       7        
皃        mao       7        
的        de        8        
皅        pa        9        
皆        jie       9        
皇        huang     9        
皈        gui       9        
皉        ci        11       
皊        ling      10       
皋        gao       10       
皌        mo        10       
皍        ji        9        
皎        jiao      11       
皏        peng      11       
皐        gao       11       
皑        ai        11       
皒        e         12       
皓        hao       12       
皔        han       12       
皕        bi        12       
皖        wan       12       
皗        chou      13       
皘        qian      13       
皙        xi        13       
皚        ai        15       
皛        xiao      15       
皜        hao       15       
皝        huang     15       
皞        hao       15       
皟        ze        16       
皠        cui       16       
皡        hao       16       
皢        xiao      17       
皣        ye        15       
皤        po        17       
皥        hao       17       
皦        jiao      18       
皧        ai        18       
皨        xing      18       
皩        huang     19       
皪        luo       20       
皫        piao      20       
皬        he        21       
皭        jiao      22       
皮        pi        5        
皯        gan       8        
皰        pao       10       
皱        zhou      10       
皲        jun       11       
皳        qiu       12       
皴        cun       12       
皵        que       13       
皶        zha       14       
皷        gu        14       
皸        jun       14       
皹        jun       14       
皺        zhou      15       
皻        zha       16       
皼        uu        17       
皽        zhao      18       
皾        du        20       
皿        min       5        
盀        qi        7        
盁        ying      7        
盂        yu        8        
盃        bei       9        
盄        zhao      9        
盅        zhong     9        
盆        pen       9        
盇        he        9        
盈        ying      9        
盉        he        10       
益        yi        10       
盋        bo        10       
盌        wan       10       
盍        he        10       
盎        ang       10       
盏        zhan      10       
盐        yan       10       
监        jian      10       
盒        he        11       
盓        yu        11       
盔        kui       11       
盕        fan       11       
盖        gai       11       
盗        dao       11       
盘        pan       11       
盙        fu        12       
盚        qiu       12       
盛        sheng     11       
盜        dao       12       
盝        lu        13       
盞        zhan      13       
盟        meng      13       
盠        li        14       
盡        jin       14       
盢        xu        14       
監        kan       14       
盤        xuan      15       
盥        guan      16       
盦        an        16       
盧        lv        16       
盨        xu        17       
盩        zhou      17       
盪        dang      17       
盫        an        18       
盬        gu        18       
盭        li        20       
目        mu        5        
盯        ding      7        
盰        gan       8        
盱        xu        8        
盲        mang      8        
盳        wang      8        
直        zhi       8        
盵        qi        8        
盶        yuan      9        
盷        xian      9        
相        xiang     9        
盹        dun       9        
盺        xin       9        
盻        xi        9        
盼        pan       9        
盽        feng      9        
盾        dun       9        
盿        min       9        
眀        ming      9        
省        sheng     9        
眂        shi       9        
眃        yun       9        
眄        mian      9        
眅        pan       9        
眆        fang      9        
眇        miao      9        
眈        dan       9        
眉        mei       9        
眊        mei       9        
看        kan       9        
県        xian      9        
眍        kou       9        
眎        shi       10       
眏        ying      10       
眐        zheng     10       
眑        yao       10       
眒        shen      10       
眓        huo       10       
眔        da        10       
眕        zhen      10       
眖        kuang     10       
眗        xu        10       
眘        shen      10       
眙        yi        10       
眚        sheng     10       
眛        mei       10       
眜        mo        10       
眝        zhu       10       
眞        zhen      10       
真        zhen      10       
眠        mian      10       
眡        shi       10       
眢        yuan      10       
眣        die       10       
眤        ni        10       
眥        zi        11       
眦        zi        11       
眧        chao      10       
眨        zha       9        
眩        xuan      10       
眪        fang      10       
眫        pan       10       
眬        long      10       
眭        sui       11       
眮        tong      11       
眯        mi        11       
眰        zhi       11       
眱        di        11       
眲        ne        11       
眳        ming      11       
眴        xun       11       
眵        chi       11       
眶        kuang     11       
眷        juan      11       
眸        mou       11       
眹        zhen      11       
眺        tiao      11       
眻        yang      11       
眼        yan       11       
眽        mo        11       
眾        zhong     11       
眿        mo        10       
着        zhe       11       
睁        zheng     11       
睂        mei       12       
睃        suo       12       
睄        xiao      12       
睅        han       12       
睆        huan      12       
睇        di        12       
睈        cheng     12       
睉        zhuai     12       
睊        juan      12       
睋        e         12       
睌        man       12       
睍        xian      12       
睎        xi        12       
睏        kun       12       
睐        lai       12       
睑        jian      12       
睒        shan      13       
睓        tian      13       
睔        lun       13       
睕        wan       13       
睖        leng      13       
睗        shi       13       
睘        qiong     13       
睙        lie       13       
睚        ya        13       
睛        jing      13       
睜        zheng     13       
睝        li        13       
睞        lai       13       
睟        zui       13       
睠        juan      13       
睡        shui      13       
睢        sui       13       
督        du        13       
睤        pi        13       
睥        pi        13       
睦        mu        13       
睧        hun       13       
睨        ni        13       
睩        lu        13       
睪        ze        13       
睫        jie       13       
睬        cai       13       
睭        zhou      13       
睮        yu        14       
睯        hun       14       
睰        ma        13       
睱        xia       14       
睲        xing      14       
睳        hui       14       
睴        gun       14       
睵        zai       14       
睶        chun      14       
睷        jian      13       
睸        mei       14       
睹        du        13       
睺        hou       14       
睻        xuan      14       
睼        tian      14       
睽        kui       14       
睾        gao       14       
睿        rui       14       
瞀        mao       14       
瞁        xu        14       
瞂        fa        14       
瞃        wo        14       
瞄        miao      13       
瞅        chou      14       
瞆        gui       14       
瞇        mi        14       
瞈        weng      15       
瞉        kou       15       
瞊        dang      15       
瞋        tian      15       
瞌        ke        15       
瞍        sou       14       
瞎        xia       15       
瞏        qiong     15       
瞐        mo        15       
瞑        ming      15       
瞒        man       15       
瞓        fen       15       
瞔        ze        16       
瞕        zhang     16       
瞖        yi        16       
瞗        dou       16       
瞘        kou       16       
瞙        mo        15       
瞚        shun      16       
瞛        cong      16       
瞜        lv        16       
瞝        chi       15       
瞞        men       16       
瞟        piao      16       
瞠        cheng     16       
瞡        gui       16       
瞢        meng      15       
瞣        huan      16       
瞤        shun      17       
瞥        pie       16       
瞦        xi        17       
瞧        qiao      17       
瞨        pu        17       
瞩        zhu       17       
瞪        deng      17       
瞫        shen      17       
瞬        shun      17       
瞭        liao      17       
瞮        che       17       
瞯        xian      17       
瞰        kan       16       
瞱        ye        15       
瞲        xue       17       
瞳        tong      17       
瞴        wu        17       
瞵        lin       17       
瞶        wei       17       
瞷        jian      17       
瞸        ye        17       
瞹        ai        18       
瞺        hui       18       
瞻        zhan      18       
瞼        jian      18       
瞽        gu        18       
瞾        zhao      18       
瞿        qu        18       
矀        mei       18       
矁        chou      18       
矂        sao       18       
矃        ning      19       
矄        xun       19       
矅        yao       19       
矆        yue       18       
矇        meng      18       
矈        mian      19       
矉        pin       19       
矊        mian      19       
矋        lei       19       
矌        kuang     19       
矍        jue       20       
矎        xuan      19       
矏        mian      20       
矐        huo       21       
矑        lu        21       
矒        meng      20       
矓        long      22       
矔        quan      22       
矕        man       24       
矖        xi        24       
矗        chu       24       
矘        tang      25       
矙        kan       24       
矚        zhu       26       
矛        mao       5        
矜        jin       9        
矝        qin       10       
矞        yu        12       
矟        shuo      12       
矠        zhuo      13       
矡        jue       25       
矢        shi       5        
矣        yi        7        
矤        shen      8        
知        zhi       8        
矦        hou       9        
矧        shen      9        
矨        ying      9        
矩        ju        9        
矪        zhou      11       
矫        jiao      11       
矬        cuo       12       
短        duan      12       
矮        ai        13       
矯        jiao      17       
矰        zeng      17       
矱        yue       18       
矲        ba        20       
石        shi       5        
矴        ding      7        
矵        qi        7        
矶        ji        7        
矷        zi        8        
矸        gan       8        
矹        wu        8        
矺        zhe       8        
矻        qia       8        
矼        qiang     8        
矽        xi        8        
矾        fan       8        
矿        kuang     8        
砀        dang      8        
码        ma        8        
砂        sha       9        
砃        dan       9        
砄        jue       9        
砅        li        9        
砆        fu        9        
砇        wen       9        
砈        e         9        
砉        hua       9        
砊        kang      9        
砋        zhi       9        
砌        qi        9        
砍        kan       9        
砎        jie       9        
砏        pin       9        
砐        e         8        
砑        ya        9        
砒        pi        9        
砓        zhe       9        
研        yan       9        
砕        sui       9        
砖        zhuan     9        
砗        che       9        
砘        dun       9        
砙        wa        9        
砚        yan       9        
砛        jin       9        
砜        feng      9        
砝        fa        10       
砞        mo        10       
砟        zha       10       
砠        zu        10       
砡        yu        10       
砢        luo       10       
砣        tuo       10       
砤        tuo       10       
砥        di        10       
砦        zhai      11       
砧        zhen      10       
砨        e         10       
砩        fu        10       
砪        mu        10       
砫        zhu       10       
砬        la        10       
砭        bian      9        
砮        nu        10       
砯        ping      10       
砰        peng      10       
砱        ling      10       
砲        pu        10       
砳        le        10       
破        po        10       
砵        e         10       
砶        po        10       
砷        shen      10       
砸        za        10       
砹        ai        10       
砺        li        10       
砻        long      10       
砼        tong      10       
砽        yong      10       
砾        li        10       
砿        kuang     10       
础        chu       10       
硁        keng      10       
硂        quan      11       
硃        zhu       11       
硄        kuang     11       
硅        gui       11       
硆        e         11       
硇        nao       11       
硈        qia       11       
硉        lu        11       
硊        wei       11       
硋        ai        11       
硌        ge        11       
硍        yin       11       
硎        xing      11       
硏        yan       11       
硐        dong      11       
硑        ping      11       
硒        xi        11       
硓        lao       11       
硔        hong      11       
硕        shuo      11       
硖        xia       11       
硗        qiao      11       
硘        qing      11       
硙        wei       11       
硚        qiao      11       
硛        ceok      11       
硜        qing      12       
硝        xiao      12       
硞        que       12       
硟        chan      11       
硠        lang      12       
硡        hong      12       
硢        yu        12       
硣        xiao      12       
硤        xia       12       
硥        mang      12       
硦        luo       12       
硧        yong      12       
硨        che       12       
硩        che       12       
硪        wo        12       
硫        liu       12       
硬        ying      12       
硭        mang      11       
确        que       12       
硯        yan       12       
硰        sha       12       
硱        kun       12       
硲        gu        12       
硳        ceok      12       
硴        hua       12       
硵        lu        12       
硶        chen      12       
硷        jian      12       
硸        nue       13       
硹        song      13       
硺        zhuo      13       
硻        keng      13       
硼        peng      13       
硽        yan       13       
硾        zhui      13       
硿        kong      13       
碀        cheng     11       
碁        qi        13       
碂        zong      13       
碃        qing      13       
碄        lin       13       
碅        jun       13       
碆        pan       13       
碇        ding      13       
碈        min       13       
碉        diao      13       
碊        zhan      13       
碋        he        13       
碌        lu        13       
碍        ai        13       
碎        sui       13       
碏        xi        13       
碐        leng      13       
碑        bei       13       
碒        yin       13       
碓        dui       13       
碔        wu        13       
碕        qi        13       
碖        lun       13       
碗        wan       13       
碘        dian      13       
碙        nao       13       
碚        bei       13       
碛        qi        16       
碜        chen      13       
碝        ruan      14       
碞        yan       14       
碟        die       14       
碠        ding      14       
碡        zhou      14       
碢        tuo       13       
碣        jie       14       
碤        ying      13       
碥        bian      14       
碦        ke        14       
碧        bi        14       
碨        wei       14       
碩        shuo      14       
碪        zhen      14       
碫        duan      14       
碬        xia       14       
碭        dang      14       
碮        ti        14       
碯        nao       14       
碰        peng      13       
碱        jian      14       
碲        di        14       
碳        tan       14       
碴        cha       14       
碵        tian      14       
碶        qi        14       
碷        dun       14       
碸        feng      14       
碹        xuan      14       
確        que       15       
碻        que       15       
碼        ma        15       
碽        gong      15       
碾        nian      15       
碿        xie       15       
磀        e         14       
磁        ci        14       
磂        liu       15       
磃        ti        15       
磄        tang      15       
磅        bang      15       
磆        ke        14       
磇        pi        15       
磈        wei       14       
磉        sang      15       
磊        lei       15       
磋        cuo       14       
磌        tian      15       
磍        ya        15       
磎        qi        15       
磏        lian      15       
磐        pan       15       
磑        wei       15       
磒        yun       15       
磓        zhui      14       
磔        zhe       15       
磕        ke        15       
磖        la        16       
磗        pak       15       
磘        yao       15       
磙        gun       15       
磚        zhuan     16       
磛        chan      16       
磜        qi        16       
磝        qiao      15       
磞        peng      16       
磟        liu       16       
磠        lu        16       
磡        kan       16       
磢        chuang    16       
磣        chen      16       
磤        yin       15       
磥        lei       16       
磦        piao      16       
磧        qi        16       
磨        mo        16       
磩        zhu       16       
磪        cui       16       
磫        zong      16       
磬        qing      16       
磭        chuo      16       
磮        lun       16       
磯        ji        17       
磰        shan      17       
磱        lao       17       
磲        qu        16       
磳        zeng      17       
磴        deng      17       
磵        jian      17       
磶        xi        17       
磷        lin       17       
磸        ding      17       
磹        dian      17       
磺        huang     16       
磻        pan       17       
磼        za        17       
磽        qiao      17       
磾        di        17       
磿        li        17       
礀        jian      17       
礁        jiao      17       
礂        xi        17       
礃        zhang     17       
礄        qiao      17       
礅        dun       17       
礆        xian      18       
礇        yu        17       
礈        zhui      17       
礉        qiao      18       
礊        ke        18       
礋        ze        18       
礌        lei       18       
礍        jie       17       
礎        chu       18       
礏        ye        18       
礐        que       18       
礑        dang      18       
礒        yi        18       
礓        jiang     18       
礔        pi        18       
礕        pi        18       
礖        yu        18       
礗        pin       19       
礘        qi        19       
礙        yi        19       
礚        ke        18       
礛        jian      19       
礜        yu        18       
礝        ruan      19       
礞        meng      18       
礟        pao       19       
礠        ci        18       
礡        bo        18       
礢        yang      19       
礣        ma        19       
礤        ca        19       
礥        xin       20       
礦        kuang     19       
礧        lei       20       
礨        lei       20       
礩        zhi       20       
礪        li        19       
礫        luo       20       
礬        fan       20       
礭        que       21       
礮        pao       21       
礯        ying      21       
礰        li        21       
礱        long      22       
礲        long      22       
礳        mo        21       
礴        bo        21       
礵        shuang    22       
礶        guan      22       
礷        lan       22       
礸        ca        24       
礹        yan       24       
示        shi       5        
礻        shi       4        
礼        li        5        
礽        reng      6        
社        she       7        
礿        yue       7        
祀        si        7        
祁        qi        6        
祂        ta        7        
祃        ma        7        
祄        xie       8        
祅        yao       8        
祆        xian      8        
祇        zhi       8        
祈        qi        8        
祉        zhi       8        
祊        fang      8        
祋        dui       8        
祌        zhong     8        
祍        uu        8        
祎        yi        8        
祏        shi       9        
祐        you       9        
祑        zhi       9        
祒        tiao      9        
祓        fu        9        
祔        fu        9        
祕        mi        9        
祖        zu        9        
祗        zhi       9        
祘        suan      10       
祙        mei       9        
祚        zuo       9        
祛        qu        9        
祜        hu        9        
祝        zhu       9        
神        shen      9        
祟        sui       10       
祠        ci        9        
祡        chai      11       
祢        mi        9        
祣        lv        10       
祤        yu        10       
祥        xiang     10       
祦        wu        11       
祧        tiao      10       
票        piao      11       
祩        zhu       10       
祪        gui       10       
祫        xia       10       
祬        zhi       10       
祭        ji        11       
祮        gao       10       
祯        zhen      10       
祰        gao       11       
祱        shui      11       
祲        jin       11       
祳        shen      11       
祴        gai       11       
祵        kun       11       
祶        di        11       
祷        dao       11       
祸        huo       11       
祹        tao       12       
祺        qi        12       
祻        gu        12       
祼        guan      12       
祽        zui       12       
祾        ling      12       
祿        lu        12       
禀        bing      13       
禁        jin       13       
禂        dao       12       
禃        zhi       12       
禄        lu        12       
禅        chan      12       
禆        bi        12       
禇        chu       12       
禈        hui       13       
禉        you       13       
禊        xi        13       
禋        yin       13       
禌        zi        13       
禍        huo       12       
禎        zhen      13       
福        fu        13       
禐        yuan      13       
禑        wu        13       
禒        xian      13       
禓        yang      13       
禔        zhi       13       
禕        yi        13       
禖        mei       13       
禗        si        13       
禘        di        13       
禙        bei       13       
禚        zhuo      14       
禛        zhen      14       
禜        yong      15       
禝        ji        14       
禞        gao       14       
禟        tang      14       
禠        si        14       
禡        ma        14       
禢        ta        14       
禣        fu        14       
禤        xuan      15       
禥        qi        15       
禦        yu        17       
禧        xi        16       
禨        qi        16       
禩        si        15       
禪        tan       16       
禫        dan       16       
禬        gui       17       
禭        sui       16       
禮        li        17       
禯        nong      17       
禰        xian      18       
禱        dao       18       
禲        li        18       
禳        rang      21       
禴        yue       21       
禵        zhi       22       
禶        zan       23       
禷        lei       23       
禸        rou       4        
禹        yu        9        
禺        yu        9        
离        li        10       
禼        xie       11       
禽        qin       12       
禾        he        5        
禿        tu        7        
秀        xiu       7        
私        si        7        
秂        ren       7        
秃        tu        7        
秄        zi        8        
秅        na        9        
秆        gan       8        
秇        zhi       8        
秈        xian      8        
秉        bing      8        
秊        nian      8        
秋        qiu       9        
秌        qiu       9        
种        zhong     9        
秎        fen       9        
秏        mao       9        
秐        yun       9        
科        ke        9        
秒        miao      9        
秓        zhi       9        
秔        jing      9        
秕        bi        9        
秖        zhi       9        
秗        yu        9        
秘        mi        10       
秙        ku        10       
秚        ban       10       
秛        pi        10       
秜        ni        10       
秝        li        10       
秞        you       10       
租        zu        10       
秠        pi        10       
秡        bo        10       
秢        ling      10       
秣        mo        10       
秤        cheng     10       
秥        nian      10       
秦        qin       10       
秧        yang      10       
秨        zuo       10       
秩        zhi       10       
秪        zhi       10       
秫        shu       10       
秬        ju        9        
秭        zi        9        
秮        huo       10       
积        ji        10       
称        cheng     10       
秱        tong      11       
秲        zhi       11       
秳        kuo       11       
秴        he        11       
秵        yin       11       
秶        zi        11       
秷        zhi       11       
秸        jie       11       
秹        ren       11       
秺        du        11       
移        yi        11       
秼        zhu       11       
秽        hui       11       
秾        nong      11       
秿        pu        12       
稀        xi        12       
稁        gao       12       
稂        lang      12       
稃        fu        12       
稄        ze        12       
稅        tuo       12       
稆        lv        11       
稇        kun       12       
稈        gan       12       
稉        jing      12       
稊        ti        12       
程        cheng     12       
稌        tu        12       
稍        shao      12       
税        shui      12       
稏        ya        13       
稐        lun       13       
稑        lu        13       
稒        gu        13       
稓        zuo       13       
稔        ren       13       
稕        zhun      13       
稖        bang      13       
稗        bai       13       
稘        qi        13       
稙        zhi       13       
稚        zhi       13       
稛        kun       13       
稜        leng      13       
稝        peng      13       
稞        ke        13       
稟        lin       13       
稠        chou      13       
稡        zui       13       
稢        yu        13       
稣        su        13       
稤        su        13       
稥        uu        13       
稦        yi        14       
稧        xi        14       
稨        bian      14       
稩        ji        14       
稪        fu        14       
稫        pi        14       
稬        nuo       14       
稭        jie       14       
種        zhong     14       
稯        zong      14       
稰        xu        14       
稱        cheng     14       
稲        dao       14       
稳        wen       14       
稴        xian      15       
稵        zi        14       
稶        yu        15       
稷        ji        15       
稸        xu        15       
稹        zhen      15       
稺        zhi       15       
稻        dao       15       
稼        jia       16       
稽        ji        15       
稾        kao       15       
稿        gao       15       
穀        gu        15       
穁        rong      14       
穂        sui       15       
穃        rong      15       
穄        ji        16       
穅        kang      16       
穆        mu        16       
穇        shan      16       
穈        mi        16       
穉        zhi       17       
穊        ji        14       
穋        lu        16       
穌        su        16       
積        ji        16       
穎        ying      16       
穏        wen       17       
穐        qiu       16       
穑        se        16       
穒        kweok     16       
穓        yi        16       
穔        huang     16       
穕        qie       17       
穖        ji        17       
穗        sui       17       
穘        xiao      17       
穙        pu        17       
穚        jiao      17       
穛        zhuo      17       
穜        zhong     17       
穝        zui       17       
穞        lv        17       
穟        sui       17       
穠        nong      18       
穡        se        18       
穢        hui       18       
穣        rang      18       
穤        nuo       19       
穥        yu        18       
穦        pin       19       
穧        zi        19       
穨        tui       19       
穩        wen       19       
穪        cheng     19       
穫        huo       18       
穬        kuang     19       
穭        lv        20       
穮        pao       20       
穯        se        20       
穰        rang      22       
穱        zhuo      22       
穲        li        24       
穳        zan       24       
穴        xue       5        
穵        ya        6        
究        jiu       7        
穷        qiong     7        
穸        xi        8        
穹        qiong     8        
空        kong      8        
穻        yu        8        
穼        shen      9        
穽        jing      9        
穾        yao       9        
穿        chuan     9        
窀        zhun      9        
突        tu        9        
窂        lao       9        
窃        qie       9        
窄        zhai      10       
窅        yao       10       
窆        bian      9        
窇        bao       10       
窈        yao       10       
窉        bing      10       
窊        wa        10       
窋        zhu       10       
窌        pao       11       
窍        qiao      10       
窎        diao      10       
窏        wu        11       
窐        wa        11       
窑        yao       11       
窒        zhi       11       
窓        chuang    11       
窔        yao       11       
窕        tiao      11       
窖        jiao      12       
窗        chuang    12       
窘        jiong     12       
窙        xiao      12       
窚        cheng     11       
窛        kou       12       
窜        cuan      12       
窝        wo        12       
窞        dan       13       
窟        ku        13       
窠        ke        13       
窡        zhuo      13       
窢        xu        13       
窣        su        13       
窤        guan      13       
窥        kui       13       
窦        dou       13       
窧        zhuo      13       
窨        xun       14       
窩        wo        13       
窪        wa        14       
窫        ye        14       
窬        yu        14       
窭        ju        14       
窮        qiong     15       
窯        yao       15       
窰        yao       15       
窱        tiao      15       
窲        chao      15       
窳        yu        15       
窴        tian      15       
窵        diao      16       
窶        lou       16       
窷        liao      16       
窸        xi        16       
窹        wu        16       
窺        kui       16       
窻        chuang    16       
窼        zhao      16       
窽        kuan      16       
窾        kuan      17       
窿        long      16       
竀        cheng     17       
竁        cui       17       
竂        liao      17       
竃        zao       17       
竄        cuan      18       
竅        qiao      18       
竆        qiong     18       
竇        du        20       
竈        zao       20       
竉        long      22       
竊        qie       22       
立        li        5        
竌        chu       7        
竍        shi       7        
竎        fu        8        
竏        qian      8        
竐        chu       9        
竑        hong      10       
竒        qi        10       
竓        hao       9        
竔        sheng     9        
竕        fen       9        
竖        shu       9        
竗        miao      9        
竘        qu        10       
站        zhan      10       
竚        zhu       10       
竛        ling      10       
竜        neng      10       
竝        bing      10       
竞        jing      10       
竟        jing      11       
章        zhang     11       
竡        bai       11       
竢        si        12       
竣        jun       12       
竤        hong      12       
童        tong      12       
竦        song      12       
竧        zhen      12       
竨        diao      13       
竩        yi        13       
竪        shu       13       
竫        jing      11       
竬        qu        14       
竭        jie       14       
竮        ping      14       
端        duan      14       
竰        li        14       
竱        zhuan     16       
竲        ceng      17       
竳        deng      17       
竴        cun       17       
竵        wai       18       
競        jing      20       
竷        kan       20       
竸        jing      22       
竹        zhu       6        
竺        zhu       8        
竻        le        8        
竼        peng      9        
竽        yu        9        
竾        chi       9        
竿        gan       9        
笀        mang      9        
笁        zhu       9        
笂        wan       9        
笃        du        9        
笄        ji        10       
笅        jiao      10       
笆        ba        10       
笇        suan      10       
笈        ji        9        
笉        qin       10       
笊        zhao      10       
笋        sun       10       
笌        ya        10       
笍        zhui      10       
笎        yuan      10       
笏        hu        10       
笐        hang      10       
笑        xiao      10       
笒        jin       10       
笓        pi        10       
笔        bi        10       
笕        jian      10       
笖        yi        10       
笗        dong      11       
笘        shan      11       
笙        sheng     11       
笚        xia       11       
笛        di        11       
笜        zhu       11       
笝        na        11       
笞        chi       11       
笟        gu        11       
笠        li        11       
笡        qie       11       
笢        min       11       
笣        bao       11       
笤        tiao      11       
笥        si        11       
符        fu        11       
笧        shan      11       
笨        ben       11       
笩        pei       11       
笪        da        11       
笫        zi        10       
